std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code
Atlanta Hwy Package,LIQUOR/PACKAGE STORE,OFF,1652 Atlanta Hwy,Gainesville,GA,30504
STONY BROOK WINE & LIQUOR INC,LIQUOR/PACKAGE STORE,OFF,2192 NESCONSET HGWY,STONY BROOK,NY,11790
Jax Beverage Superstore Conyers,LIQUOR/PACKAGE STORE,OFF,1897 Hwy 20 SE,Conyers,GA,30013
Drip and Drop,LIQUOR/PACKAGE STORE,OFF,11289 Highway 92,Woodstock,GA,30188
BOSS LIQUOR,LIQUOR/PACKAGE STORE,OFF,5781 EAST 128TH AVENUE #160,THORNTON,CO,80602
KAKAAKO WINE LLC,LIQUOR/PACKAGE STORE,OFF,2915 KAIHIKAPU ST SUITE 102,HONOLULU,HI,96819
SEAHOLM WINES & LIQUORS,LIQUOR/PACKAGE STORE,OFF,132 136 WALL STREET,HUNTINGTON,NY,11743
305 WINES LLC,LIQUOR/PACKAGE STORE,OFF,8233 S DIXIE HIGHWAY,MIAMI,FL,33143
CIRCUS LIQUOR,LIQUOR/PACKAGE STORE,OFF,5600 VINELAND AV,NORTH HOLLYWOOD,CA,91601
AB Liquor Store,LIQUOR/PACKAGE STORE,OFF,1901 Manchester Expressway Ste B,Columbus,GA,31904
Guyton Liquors LLC,LIQUOR/PACKAGE STORE,OFF,109 W Central Blvd,Guyton,GA,31312
Peach State Bottle Shop,LIQUOR/PACKAGE STORE,OFF,3260 Maysville Rd,Commerce,GA,30529
ARGONAUT WINE & LIQUOR STORE I,LIQUOR/PACKAGE STORE,OFF,760 E COLFAX AVE,DENVER,CO,80203
Lilburn Package Store  **CLOSED**,LIQUOR/PACKAGE STORE,OFF,501 Indian Trail Rd,Lilburn,GA,30047
Hops  Grains & Vine (GHOMST),LIQUOR/PACKAGE STORE,OFF,3997 Dallas Hwy SW #600,Marietta,GA,30064
Beverage Vault,LIQUOR/PACKAGE STORE,OFF,109 Bullsboro Dr,Newnan,GA,30263
Savi - Emory,LIQUOR/PACKAGE STORE,OFF,1593 N Decatur Rd NE,Atlanta,GA,30307
Bottoms Up Beverages,LIQUOR/PACKAGE STORE,OFF,11950 Jones Bridge Rd Ste 113,Johns Creek,GA,30005
Beverage Haven,LIQUOR/PACKAGE STORE,OFF,2014 Powers Ferry Rd SE Ste 500,Atlanta,GA,30339
Beverage Mart,LIQUOR/PACKAGE STORE,OFF,3482 Cobb Pkwy NW,Acworth,GA,30101
Sweetwater Package **CLOSED**,LIQUOR/PACKAGE STORE,OFF,3900 Peachtre Ind l Blvd,Duluth,GA,30096
124 Package (Lithonia),LIQUOR/PACKAGE STORE,OFF,7980 Rockbridge Rd,Lithonia,GA,30058
BT Cartersville,LIQUOR/PACKAGE STORE,OFF,20 Apex Dr. SW,Cartersville,GA,30121
Riverstone Beverage,LIQUOR/PACKAGE STORE,OFF,1554 Riverstone Pkwy Ste 100,Canton,GA,30114
J & J Beer Wine Liquor,LIQUOR/PACKAGE STORE,OFF,1590 Hudson Bridge Rd,Stockbridge,GA,30281
Eddi s Package Store,LIQUOR/PACKAGE STORE,OFF,3815 Flat Shoals Pkwy Ste A,Decatur,GA,30034
Wine & Spirits,LIQUOR/PACKAGE STORE,OFF,1694 Whittlesey Rd Ste A,Columbus,GA,31904
Big Man Package Store,LIQUOR/PACKAGE STORE,OFF,2594 Candler Rd.,Decatur,GA,30034
ALPINE WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,2109 N FRONTAGE RD #H,VAIL,CO,81657
TOP SHELF W/S MJRA,LIQUOR/PACKAGE STORE,OFF,6795 W TROPICANA AVE STE 130,LAS VEGAS,NV,89103
WAGON WHEEL LIQUORS,LIQUOR/PACKAGE STORE,OFF,30 TOWN PLAZA,DURANGO,CO,81301
SIERRA MART AND LIQUOR,LIQUOR/PACKAGE STORE,OFF,5245 VISTA BOULEVARD SUITE F-2,SPARKS,NV,89436
MOUNTAIN MOON SHINE,LIQUOR/PACKAGE STORE,OFF,2812 COLORADO BLVD,IDAHO SPRINGS,CO,80452
Gwinnett Package Store,LIQUOR/PACKAGE STORE,OFF,3035 Pleasant Hill Rd,Duluth,GA,30096
Suwanee Pkg Store,LIQUOR/PACKAGE STORE,OFF,3063A LAWRENCEVILLE SUWANEE RD,Suwanee,GA,30024
MASHBILL WINE AND SPIRITS,LIQUOR/PACKAGE STORE,OFF,24 AVENUE C,NEW YORK,NY,10009
Jax Package Store,LIQUOR/PACKAGE STORE,OFF,2754 E College Ave,Decatur,GA,30030
Bootleggers Package Store,LIQUOR/PACKAGE STORE,OFF,5782 W Oglethorpe Hwy,Walthourville,GA,31333
VSZ Liquores LLC,LIQUOR/PACKAGE STORE,OFF,1349 Harris Trail Rd,Richmond Hill,GA,31322
M and S Liquor Store,LIQUOR/PACKAGE STORE,OFF,2367 Ga Hwy 196 W,Hinesville,GA,31313
B & B Package Shop,LIQUOR/PACKAGE STORE,OFF,4630 US Hwy 80 E,Ellabell,GA,31308
County Line Pkg Shop,LIQUOR/PACKAGE STORE,OFF,RR 1 Box 272,Metter,GA,30439
Richmond Hill Liquor(Brown Bag),LIQUOR/PACKAGE STORE,OFF,9701 Ford Ave,Richmond Hill,GA,31324
SPEC S 071 WINE MAIN,LIQUOR/PACKAGE STORE,OFF,3902 BISSONNET,HOUSTON,TX,77005
SPEC S 053 WINE MAIN,LIQUOR/PACKAGE STORE,OFF,8416 KATY FREEWAY,SPRING VALLEY,TX,77024
MARTINIS FINE WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,81650 OVERSEAS HWY UNIT A,ISLAMORADA,FL,33036
