std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code
FISHERS LIQUOR BARN,LIQUOR/PACKAGE STORE,OFF,2438 PATTERSON ROAD,GRAND JUNCTION,CO,81505
CAMPUS WEST LIQUOR DEPOT,LIQUOR/PACKAGE STORE,OFF,1107 CITY PARK AVENUE,FORT COLLINS,CO,80521
GA World Of Beverage,LIQUOR/PACKAGE STORE,OFF,8455 Senoia Rd,Fairburn,GA,30213
Max s Bottle Shop,LIQUOR/PACKAGE STORE,OFF,6395 Mcginnis Ferry Rd,Johns Creek,GA,30005
Westside Bottle Shop,LIQUOR/PACKAGE STORE,OFF,3685 Atlanta Hwy,Athens,GA,30606
Bankhead Beverage,LIQUOR/PACKAGE STORE,OFF,1595 Bankhead Hwy,Carrollton,GA,30116
MONDO VINO,LIQUOR/PACKAGE STORE,OFF,3601 W 32ND AVE,DENVER,CO,80211
SUNDANCE,LIQUOR/PACKAGE STORE,OFF,0016 KEARNS RD STE101 104 115,SNOWMASS VILLAGE,CO,81615
WOLLASTON WINE CO,LIQUOR/PACKAGE STORE,OFF,54 BEALE ST,WOLLASTON,MA,02170
Hiawassee Package Inc,LIQUOR/PACKAGE STORE,OFF,405 Brett Way,Hiawassee,GA,30546
Stateline Liquor,LIQUOR/PACKAGE STORE,OFF,52 Highway 41,Ringgold,GA,30736
Whitlock Package Store,LIQUOR/PACKAGE STORE,OFF,940 Whitlock Ave NW,Marietta,GA,30064
Hill Top Beverage,LIQUOR/PACKAGE STORE,OFF,12 Hefner St Ste 103,East Ellijay,GA,30540
Toco Giant Package,LIQUOR/PACKAGE STORE,OFF,2941 N Druid Hills Rd NE  Ste A,Atlanta,GA,30329
SPEC S 150 WINE MAIN,LIQUOR/PACKAGE STORE,OFF,9500 N CENT EXPRESSWAY STE 200,DALLAS,TX,75231
RIVERWALK WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,34295 HWY 6 UNITS C-1A & C-1B,EDWARDS,CO,81632
Johnnie Ganem Package Shop,LIQUOR/PACKAGE STORE,OFF,501 Habersham St,Savannah,GA,31401
