std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code,id
PRESS,RESTAURANT,ON,587-B S ST HELENA HWY,ST. HELENA,CA,94574,cf2806bc-716f-4335-84de-9302410efc0f
GIGI S CFE FIORUCCI,RESTAURANT,ON,610 S MOUNT SHASTA BLVD,MOUNT SHASTA,CA,96067,eb05471f-5254-41ab-8e7b-b037399e605d
YUJO,RESTAURANT,ON,12835 PRESTON RD SUITE 216,DALLAS,TX,75230,69c5b7a2-381f-4092-9bfb-43717c417dd7
MEZCAL GRILL,RESTAURANT,ON,5701 BROADWAY STE B,SACRAMENTO,CA,95820,c3e23885-f349-4ebf-a424-e4d74c1ed076
O-Ku,RESTAURANT,ON,1085 Howell Mill Rd NW  A-3,Atlanta,GA,30318,6fcb3510-c6e4-445a-b93e-21132d4bcb4a
KA THAI,RESTAURANT,ON,3220 MCKINNEY AVE SUITE 120,DALLAS,TX,75204,aa2c8e25-79a8-4d9b-815a-21ea65dc9843
BLUE MAKI,RESTAURANT,ON,2625 OLD DENTON RD STE 444,CARROLLTON,TX,75007,0d526cfe-297f-459f-b6df-62547a214962
SHOKUDO,RESTAURANT,ON,4740 NE 2ND AVENUE,MIAMI,FL,33137,bf1bd04b-e45b-40ed-9ce0-133f98c31bdb
MAVERICKS MONTAUK LLC,RESTAURANT,ON,51 S EDGEMERE ST,MONTAUK,NY,11954,e0e4a840-e2a5-4aa4-9c91-085a639d937b
HULLABALOO,RESTAURANT,ON,517-519 CLEMATIS STREET,WEST PALM BEACH,FL,33401,bea3237f-c3c1-47ac-b183-808bb798c292
ERNESTO S,RESTAURANT,ON,259 E BROADWAY,NEW YORK,NY,10002,91bea213-0b76-4130-8d0b-2f4f3603f978
MEAT & CHEESE,RESTAURANT,ON,319 EAST HOPKINS AVE UNIT 103,ASPEN,CO,81611,678e0216-3008-4c58-9eaf-d4f5115bbf98
SUSHI MOCKI,RESTAURANT,ON,5321 E MOCKINGBIRD LN STE 130,DALLAS,TX,75206,260a38cd-edfb-4b82-902e-955e9e8e9831
SEREIA,RESTAURANT,ON,3540 MAIN HWY,MIAMI,FL,33133,884cf490-175d-4a53-887d-d262e035a8ee
KASE SAKE & SUSHI,RESTAURANT,ON,5697 S JONES BLVD #220,LAS VEGAS,NV,89118,8b60f34c-83d5-4e68-b58e-3d7c695c8716
THE BLUE FISH,RESTAURANT,ON,3519 GREENVILLE AVENUE,DALLAS,TX,75206,b70ed20d-0a66-456f-81f7-cd31ebf8eaeb
LAFAYETTE & MARION,RESTAURANT,ON,1111 SW 1ST AVE,MIAMI,FL,33131,0a5f5f8d-44fc-4f05-b2af-6436b82bbf56
NO COAST SUSHI,RESTAURANT,ON,1119 NORTH 1ST ST UNIT A,GRAND JUNCTION,CO,81501,c7a3dd62-93e0-4f56-9705-f1e546fc0fda
Calvert s,RESTAURANT,ON,475 Highland Ave,Augusta,GA,30909,dbf923d8-d2c3-4d89-a36a-595ed0f573e0
MONTECITO CLARK S,RESTAURANT,ON,1212 COAST VILLAGE RD,SANTA BARBARA,CA,93108,fa441933-db3c-4613-b9be-92ef0e40f8e8
ZZ S,RESTAURANT,ON,560 W 33RD ST/55 HUDSON YARDS,NEW YORK,NY,10001,6ed4e6f6-b543-4d8c-9938-90c7b1c8dde0
Hajime Restaurant,RESTAURANT,ON,2345 Cheshire Bridge Rd Unit 1,Atlanta,GA,30324,adbd6e2f-72e0-4308-8ccb-ee0077b739c2
THE X POT @ PALAZZO,RESTAURANT,ON,3377 LAS VEGAS BLVD S #2884,LAS VEGAS,NV,89109,7cafd014-634a-45a7-baa5-9953ef47c960
Daisy Discount Liquor,RESTAURANT,ON,17114 US Hwy 280,Claxton,GA,30417,23203f73-5672-4629-b8ae-7c92dc459b9b
KA THAI MIDTOWN,RESTAURANT,ON,8185 WALNUT HILL LN STE 1410,DALLAS,TX,75231,459776f1-5572-4e3d-961e-e6dc30334809
TAO LA,RESTAURANT,ON,6421 SELMA AVE,LOS ANGELES,CA,90028,39923a06-ea66-4747-8795-fcd33fc3522a
BUCCAN,RESTAURANT,ON,350 S COUNTY RD,PALM BEACH,FL,33480,267b1c52-2ebe-46c7-889e-bf792a4bc4ee
