id,created_at,std_account_name,raw_vip_name,city,state,class_of_trade,on_off_premise,address,zip_code
9625e391-c83f-44fc-bb82-7349cae33894,2025-05-18 19:50:41.054755+00,Umbrella Bar,,Atlanta,GA,RESTAURANT,ON,675 Ponce De Leon Ave NE,30308
963ee459-70d7-4104-8148-ef2429025073,2025-05-18 19:50:41.054755+00,TRATTORIA BRAVA,,GLENWOOD SPRINGS,CO,RESTAURANT,ON,809 GRAND AVE #4,81601
96508b2c-89a2-4000-8708-1d5f0155f04e,2025-05-18 19:50:41.054755+00,LOLA 41 PALM BEACH,,PALM BEACH,FL,RESTAURANT,ON,290 SUNSET AVENUE,33480
969edaa1-a440-4a76-bccd-84dc947b8338,2025-05-18 19:50:41.054755+00,M GRILL,,LOS ANGELES,CA,RESTAURANT,ON,3832 WILSHIRE BL #202,90010
96e65835-0aac-43cd-9917-147725ea815f,2025-05-18 19:50:41.054755+00,Arbor Place Beverage,,Douglasville,GA,LIQUOR/PACKAGE STORE,OFF,7455 Douglas Blvd,30135
96ed2e6f-0b8b-41cd-8556-03b3bca04dc8,2025-05-18 19:50:41.054755+00,MAYBOURNE BEVERLY HILLS,,BEVERLY HILLS,CA,HOTEL/ MOTEL,ON,225 N CANON DR,90210
9731acd2-c07b-40ae-96ce-12e83ec4dee1,2025-05-18 19:50:41.054755+00,RIVERWALK WINE & SPIRITS,,EDWARDS,CO,LIQUOR/PACKAGE STORE,OFF,34295 HWY 6 UNITS C-1A & C-1B,81632
973748e8-b874-43b4-8d32-75649ba7b92f,2025-05-18 19:50:41.054755+00,ACTON WINE & SPIRIT CO,,ACTON,MA,LIQUOR/PACKAGE STORE,OFF,305 MAIN ST  RTE 27,01720
9792793f-bf5f-4d31-9bfd-7c2434385ee5,2025-05-18 19:50:41.054755+00,GOLDEN HOUR SOCIAL CLUB,,DENVER,CO,BAR/TAVERN,ON,3282 NORTH TEJON ST SUITE 102,80211
97b2f873-ca6c-462b-96a6-b7b400f25d10,2025-05-18 19:50:41.054755+00,CRAFT & ART WINES & SP/PAR-SAM,,IRWINDALE,CA,OTHER ON PREMISE,ON,15751-55 TAPIA STREET,91702
97f3e061-ba60-4877-b76f-8eb8a74ecfe2,2025-05-18 19:50:41.054755+00,VILLA ROYALE,,PALM SPRINGS,CA,HOTEL/ MOTEL,ON,1620 INDIAN TRAIL,92264
97f65fa3-99bf-487a-8fab-ef523d47bbfb,2025-05-18 19:50:41.054755+00,Mike s Package Store,,Douglasville,GA,LIQUOR/PACKAGE STORE,OFF,2164 Hwy 92,30135
